1,10146
2,10078
3,10118
4,9967
5,10219
6,10091
7,10012
8,10152
9,10096
10,10167
11,10032
12,10171
13,9940
14,10036
15,10235
16,10201
17,10015
18,10266
19,10073
20,10175
21,10031
22,10194
23,10162
24,10146
25,10264
26,10029
27,10001
28,10146
29,10351
30,10019
31,10258
32,10048
33,10203
34,10181
35,9948
36,10010
37,10176
38,10234
39,10241
40,10005
41,10017
42,10017
43,10068
44,9927
45,10021
46,10067
47,10149
48,10128
49,10006
50,10154
51,10306
52,9978
53,9985
54,10122
55,10085
56,10150
57,10205
58,10235
59,10004
60,10169
61,9952
62,10146
63,9978
64,10172
65,10067
66,10041
67,10100
68,10177
69,10242
70,9974
71,9988
72,10091
73,10130
74,10114
75,10094
76,10106
77,10370
78,9833
79,10086
80,10166
81,10155
82,10163
83,9971
84,10161
85,10146
86,10133
87,10091
88,10103
89,10118
90,9995
91,9940
92,10233
93,10042
94,9869
95,10092
96,10237
97,10039
98,9940
99,10115
