1,0
2,1
3,4
4,1
5,0
6,2
7,2
8,7
9,21
10,14
11,19
12,35
13,42
14,77
15,110
16,144
17,187
18,279
19,363
20,480
21,666
22,840
23,1210
24,1583
25,1938
26,2571
27,3238
28,4018
29,4998
30,5928
31,7094
32,8613
33,10518
34,12184
35,13994
36,16065
37,18206
38,20361
39,22824
40,25073
41,27996
42,30080
43,32125
44,34452
45,36061
46,37514
47,38956
48,39221
49,40020
50,40012
51,39247
52,38404
53,37342
54,36094
55,34400
56,32336
57,30085
58,27826
59,25426
60,22856
61,20710
62,18152
63,16064
64,14047
65,11872
66,10278
67,8705
68,7189
69,5952
70,4953
71,3948
72,3178
73,2511
74,2002
75,1494
76,1263
77,936
78,670
79,510
80,389
81,300
82,210
83,138
84,115
85,79
86,62
87,34
88,23
89,18
90,13
91,7
92,8
93,4
94,1
95,0
96,0
97,0
98,0
99,0
